2022-11-27
cny/vuv,16.555099
cny/waves,0.063548
cny/wbtc,0.000009
cny/wemix,0.329766
cny/wst,0.378442
cny/xaf,87.962118
cny/xag,0.006551
cny/xau,0.000079
cny/xcd,0.376691
cny/xch,0.004525
cny/xdc,5.776958
cny/xdr,0.106447
cny/xec,4774.343053
cny/xem,4.270172
cny/xlm,1.581654
cny/xmr,0.001009
cny/xof,88.439335
cny/xpf,16.116223
cny/xrp,0.351972
cny/xtz,0.141838
cny/yer,34.874253
cny/zar,2.381753
cny/zec,0.003375
cny/zil,6.196562
cny/zmk,1254.619294
cny/zmw,2.358200
cny/zwl,44.881431
